"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\README.md", "Markdown", 0, 0, 19, 0, 0, 0, 6, 25
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\counter\PageClient.tsx", "TypeScript JSX", 0, -143, 0, 0, 0, -2, -14, -159
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\counter\page.tsx", "TypeScript JSX", 0, -6, 0, 0, 0, 0, -3, -9
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\dashboard\PageClient.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 1, 1, 11
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\draft\PageClient.tsx", "TypeScript JSX", 0, -156, 0, 0, 0, -5, -19, -180
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\draft\page.tsx", "TypeScript JSX", 0, -6, 0, 0, 0, 0, -3, -9
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\matchup\PageClient.tsx", "TypeScript JSX", 0, -153, 0, 0, 0, -4, -18, -175
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\matchup\page.tsx", "TypeScript JSX", 0, -6, 0, 0, 0, 0, -3, -9
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\otp\PageClient.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\settings\notifications\PageClient.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\settings\privacy\PageClient.tsx", "TypeScript JSX", 0, -2, 0, 0, 0, 0, 0, -2
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\settings\profile\PageClient.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\teams\create\PageClient.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\champions\[name]\ChampionAbilities.tsx", "TypeScript JSX", 0, 97, 0, 0, 0, 2, 10, 109
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\champions\[name]\ChampionSkins.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 1, 4, 48
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\champions\[name]\abilityViews.ts", "TypeScript", 39, 0, 0, 0, 0, 1, 4, 44
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\champions\[name]\page.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, -4, 5, 20
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\FeaturePreviews.tsx", "TypeScript JSX", 0, 123, 0, 0, 0, 5, 8, 136
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\FeaturesSection.tsx", "TypeScript JSX", 0, -122, 0, 0, 0, -5, -7, -134
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\HeroSection.tsx", "TypeScript JSX", 0, -63, 0, 0, 0, -6, -3, -72
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\HeroShowcase.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 3, 4, 41
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\MarketingFooter.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 7, 39
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\MarketingHeader.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 25
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\MetaSnapshotSection.tsx", "TypeScript JSX", 0, 79, 0, 0, 0, 3, 7, 89
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\PricingB2BSection.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 2, 4, 68
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\PricingContent.tsx", "TypeScript JSX", 0, -55, 0, 0, 0, -1, -2, -58
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\ProductDemo.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 2, 10, 84
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\ProductDemoSteps.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 4, 7, 112
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\Reveal.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 2, 4, 31
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\StartFreeCta.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 3, 3, 17
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\TeamPlanSection.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\ToolsInActionSection.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 1, 7, 125
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\ToolsShowcaseSection.tsx", "TypeScript JSX", 0, -290, 0, 0, 0, -4, -32, -326
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\components\ToolsShowcaseSection2.tsx", "TypeScript JSX", 0, -218, 0, 0, 0, -3, -25, -246
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\page.tsx", "TypeScript JSX", 0, -6, 0, 0, 0, -4, 0, -10
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(marketing)\s\[region]\[gameName]\[tagLine]\page.tsx", "TypeScript JSX", 0, 2, 0, 0, 0, 1, 0, 3
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\RelatedTools.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 2, 3, 36
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\ToolUpgradeNudge.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 4, 6, 61
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(tools)\aram\[champion]\page.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 1, 5, 39
