"filename", "language", "Markdown", "JSON", "YAML", "TypeScript", "JSON with Comments", "PostCSS", "TypeScript JSX", "XML", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\.eslintrc.json", "JSON with Comments", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\.github\workflows\ci.yml", "YAML", 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 2, 21, 107
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\.github\workflows\e2e.yml", "YAML", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 14, 85
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\CLAUDE.md", "Markdown", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 289
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\EXECUTION_PLAN.md", "Markdown", 433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 183, 616
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\README.md", "Markdown", 313, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 395
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\STABILITY_REPORT.md", "Markdown", 197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 297
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\achievements\PageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 5, 15, 163
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\achievements\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\analysis\PageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 1, 13, 78
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\analysis\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\champion-pool\PageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 6, 16, 178
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\champion-pool\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\coaching\PageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 16, 141
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\coaching\[reportId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 17, 136
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\coaching\chat\PageClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 8, 49
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\coaching\chat\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
