"filename", "language", "TypeScript", "TypeScript JSX", "MS SQL", "Markdown", "comment", "blank", "total"
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\achievements\AchievementsPreview.tsx", "TypeScript JSX", 0, 64, 0, 0, 3, 7, 74
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\achievements\PageClient.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 1, 6
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\dashboard\PageClient.tsx", "TypeScript JSX", 0, -7, 0, 0, 1, 0, -6
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\improvement\ImprovementHistoryPreview.tsx", "TypeScript JSX", 0, 63, 0, 0, 3, 8, 74
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\improvement\PageClient.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 7
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\layout.tsx", "TypeScript JSX", 0, 8, 0, 0, 3, 1, 12
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\leaderboard\LeaderboardPreview.tsx", "TypeScript JSX", 0, 99, 0, 0, 3, 12, 114
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\leaderboard\PageClient.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 7
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\onboarding\PageClient.tsx", "TypeScript JSX", 0, -166, 0, 0, 0, -16, -182
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\(app)\onboarding\page.tsx", "TypeScript JSX", 0, -2, 0, 0, 3, -1, 0
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\coaching\generate\route.ts", "TypeScript", -5, 0, 0, 0, 4, -1, -2
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\onboarding\complete\route.ts", "TypeScript", 9, 0, 0, 0, 1, 3, 13
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\app\api\riot\[riotAccountId]\sync\route.ts", "TypeScript", 4, 0, 0, 0, 3, 0, 7
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\API_DESIGN.md", "Markdown", 0, 0, 0, 10, 0, 5, 15
"c:\Users\kaana\OneDrive\Belgeler\kcorrai-coding\lol-ai\docs\DATABASE_SCHEMA.md", "Markdown", 0, 0, 0, 1, 0, 0, 1
